coaxToWaveguide,TEM coaxial mode to TE10 rectangular waveguide mode,,,
coaxToWrTE20_screw,TEM coaxial mode to TE20 rectangular waveguide mdoe,,,
coaxToWrTE20_alternative,,,,
wrToWcTM01,TE10 rectangular waveguide mode to TM01 circular waveguide mode,,,
wrToWcTM01_irises,,,,
wrToWrTE20_irises,TE10 rectangular waveguide mode to TE20 rectangular waveguide mdoe,,,
wrTE20ToWcTE01,TE20 rectangular waveguide mode to TE01 circular waveguide mode,,,
marie,TE10 rectangular waveguide mode to TE01 circular waveguide mode,,,
,,,,
,,,,
